reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2020-04-01 to 2021-03-31",Hospice,COUNTY,MI,WAYNE,26,163,"180,552",34,106.26,2.00%,"3,613",34,"1,032",28.56%,2.18%,"$37,902,437.11",No,"BLUE 5","Extreme Values (More than 24,473 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (72.50 - 131.74 Users)","BLUE 2","Second Lowest 25% (1.93% - 2.40% of Users)","BLUE 5","Extreme Values (More than 604 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 141 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (26.83% - 46.01% of Total Users)","BLUE 1","Lowest 25% (Less than 2.53% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,710,299.77 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"180,552",78,"1,027.04",44.37%,"80,109",78,"22,398",27.96%,47.30%,"$191,458,995.75",No,"BLUE 5","Extreme Values (More than 22,918 Beneficiaries)","BLUE 5","Extreme Values (More than 34 Providers)","BLUE 5","Extreme Values (More than 650.32 Users)","BLUE 3","Third Lowest 25% (42.20% - 50.42% of Users)","BLUE 5","Extreme Values (More than 11,051 Users)","BLUE 5","Extreme Values (More than 34.49 Providers)","BLUE 5","Extreme Values (More than 1,741 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (18.94% - 32.21% of Total Users)","BLUE 3","Third Lowest 25% (45.21% - 53.20% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $26,725,920.87 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"179,991",45,149.49,3.74%,"6,727",45,"2,515",37.39%,5.31%,"$2,461,546.87",No,"BLUE 5","Extreme Values (More than 23,651 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 119.74 Users)","BLUE 2","Second Lowest 25% (3.19% - 4.26% of Users)","BLUE 5","Extreme Values (More than 1,199 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 212 Dual Eligible Users)","BLUE 5","Extreme Values (More than 36.40% of Total Users)","BLUE 3","Third Lowest 25% (4.81% - 6.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $371,761.39 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"180,552",7,88.29,0.34%,618,7,338,54.69%,0.71%,"$32,765,720.89",No,"BLUE 5","Extreme Values (More than 70,336 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (50.00 - 92.74 Users)","BLUE 3","Third Lowest 25% (0.21% - 0.40% of Users)","BLUE 5","Extreme Values (More than 114 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 84 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (42.86% - 67.23% of Total Users)","BLUE 3","Third Lowest 25% (0.58% - 1.22% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,247,709.82 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Neurology,COUNTY,MI,WAYNE,26,163,"181,193",68,48.10,1.81%,"3,271",68,"1,335",40.81%,2.80%,"$577,354.69",No,"BLUE 5","Extreme Values (More than 29,744 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 2","Second Lowest 25% (37.62 - 48.24 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.19% - 1.93% of Users)","BLUE 5","Extreme Values (More than 292 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 103 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (28.00% - 47.94% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (1.98% - 3.23% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $41,033.63 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"179,991",424,101.52,23.91%,"43,043",424,"9,573",22.24%,20.20%,"$26,382,159.37",No,"BLUE 5","Extreme Values (More than 22,860 Beneficiaries)","BLUE 5","Extreme Values (More than 86 Providers)","BLUE 4","Top 25% Excl. Extreme Values (80.93 - 143.82 Users)","BLUE 1","Lowest 25% (Less than 25.06% of Users)","BLUE 5","Extreme Values (More than 6,658 Users)","BLUE 5","Extreme Values (More than 86.99 Providers)","BLUE 5","Extreme Values (More than 715 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.22% - 25.19% of Total Users)","BLUE 2","Second Lowest 25% (18.09% - 20.98% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $3,822,425.73 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"179,991",359,24.59,4.91%,"8,829",359,"2,433",27.56%,5.13%,"$11,257,842.14",No,"BLUE 5","Extreme Values (More than 23,659 Beneficiaries)","BLUE 5","Extreme Values (More than 43 Providers)","BLUE 1","Lowest 25% (Less than 28.95 Users)","BLUE 3","Third Lowest 25% (4.84% - 6.92% of Users)","BLUE 5","Extreme Values (More than 1,471 Users)","BLUE 5","Extreme Values (More than 43.49 Providers)","BLUE 5","Extreme Values (More than 203 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.09% - 28.86% of Total Users)","BLUE 3","Third Lowest 25% (4.24% - 5.74% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,304,097.65 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"180,904",275,109.58,16.66%,"30,135",275,"11,101",36.84%,23.30%,"$7,358,874.15",No,"BLUE 5","Extreme Values (More than 23,431 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 4","Top 25% Excl. Extreme Values (96.91 - 183.36 Users)","BLUE 4","Top 25% Excl. Extreme Values (10.66% - 17.55% of Users)","BLUE 5","Extreme Values (More than 2,314 Users)","BLUE 5","Extreme Values (More than 27.99 Providers)","BLUE 5","Extreme Values (More than 451 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.18% - 42.59% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (15.60% - 26.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $418,184.81 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"179,991","1,993",48.32,53.50%,"96,300","1,993.00","27,071",28.11%,57.12%,"$15,739,905.88",No,"BLUE 5","Extreme Values (More than 22,865 Beneficiaries)","BLUE 5","Extreme Values (More than 241 Providers)","BLUE 3","Third Lowest 25% (47.31 - 61.28 Users)","BLUE 2","Second Lowest 25% (47.76% - 56.09% of Users)","BLUE 5","Extreme Values (More than 13,497 Users)","BLUE 5","Extreme Values (More than 241.99 Providers)","BLUE 5","Extreme Values (More than 1,737 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.69% - 29.13% of Total Users)","BLUE 3","Third Lowest 25% (51.03% - 58.00% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,151,974.57 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"179,991",424,32.80,7.73%,"13,906",424,"7,486",53.83%,15.80%,"$10,125,226.25",No,"BLUE 5","Extreme Values (More than 24,299 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 1","Lowest 25% (Less than 35.00 Users)","BLUE 5","Extreme Values (More than 7.31% of Users)","BLUE 5","Extreme Values (More than 1,026 Users)","BLUE 5","Extreme Values (More than 27.49 Providers)","BLUE 5","Extreme Values (More than 395 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (45.59% - 70.93% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (12.97% - 22.16% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $541,407.26 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"180,431",996,32.82,18.12%,"32,693",996,"10,110",30.92%,21.23%,"$5,337,770.34",No,"BLUE 5","Extreme Values (More than 22,912 Beneficiaries)","BLUE 5","Extreme Values (More than 107 Providers)","BLUE 1","Lowest 25% (Less than 39.13 Users)","BLUE 3","Third Lowest 25% (17.15% - 19.56% of Users)","BLUE 5","Extreme Values (More than 4,190 Users)","BLUE 5","Extreme Values (More than 107.99 Providers)","BLUE 5","Extreme Values (More than 672 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (19.54% - 32.96% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (21.13% - 29.24% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $658,127.00 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"180,552",113,58.77,3.68%,"6,641",113,"3,171",47.75%,6.70%,"$108,890,092.34",No,"BLUE 5","Extreme Values (More than 24,471 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 3","Third Lowest 25% (50.44 - 65.49 Users)","BLUE 3","Third Lowest 25% (3.19% - 3.94% of Users)","BLUE 5","Extreme Values (More than 794 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 252 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (39.26% - 63.69% of Total Users)","BLUE 2","Second Lowest 25% (5.08% - 6.86% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $13,948,723.34 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"179,991",666,39.97,14.79%,"26,617",666,"10,745",40.37%,22.67%,"$5,340,474.87",No,"BLUE 5","Extreme Values (More than 23,081 Beneficiaries)","BLUE 5","Extreme Values (More than 35 Providers)","BLUE 1","Lowest 25% (Less than 41.66 Users)","BLUE 5","Extreme Values (More than 14.74% of Users)","BLUE 5","Extreme Values (More than 1,657 Users)","BLUE 5","Extreme Values (More than 35.99 Providers)","BLUE 5","Extreme Values (More than 486 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (35.97% - 59.09% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (16.56% - 27.10% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $275,300.29 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"179,091",67,322.15,12.05%,"21,584",67,"9,502",44.02%,20.43%,"$19,972,368.31",No,"BLUE 5","Extreme Values (More than 22,992 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 264.92 Users)","BLUE 3","Third Lowest 25% (11.14% - 12.79% of Users)","BLUE 5","Extreme Values (More than 2,614 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 703 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (31.62% - 50.63% of Total Users)","BLUE 3","Third Lowest 25% (20.22% - 22.89% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,470,897.64 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"179,091",61,308.31,10.50%,"18,807",61,"8,372",44.52%,18.00%,"$12,639,253.41",No,"BLUE 5","Extreme Values (More than 23,047 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (178.67 - 352.47 Users)","BLUE 3","Third Lowest 25% (9.95% - 11.49% of Users)","BLUE 5","Extreme Values (More than 2,369 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 653 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (32.27% - 51.43% of Total Users)","BLUE 2","Second Lowest 25% (15.45% - 18.49% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,706,136.37 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"179,091",67,152.13,5.69%,"10,193",67,"4,815",47.24%,10.35%,"$7,236,080.13",No,"BLUE 5","Extreme Values (More than 24,391 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 92.24 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.14% - 9.23% of Users)","BLUE 5","Extreme Values (More than 964 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 298 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (35.25% - 56.66% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.30% - 17.24% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $761,469.57 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"179,662",13,51.77,0.37%,673,13,109,16.20%,0.23%,"$3,080,865.50",No,"BLUE 5","Extreme Values (More than 35,454 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (32.29 - 52.99 Users)","BLUE 2","Second Lowest 25% (0.37% - 0.53% of Users)","BLUE 5","Extreme Values (More than 167 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 50 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.12% - 27.62% of Total Users)","BLUE 2","Second Lowest 25% (0.22% - 0.40% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,283,981.20 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"179,091",163,32.70,2.98%,"5,330",163,598,11.22%,1.29%,"$2,109,170.44",No,"BLUE 5","Extreme Values (More than 23,758 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.00 Users)","BLUE 2","Second Lowest 25% (2.59% - 4.10% of Users)","BLUE 5","Extreme Values (More than 1,172 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 114 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (10.66% - 19.32% of Total Users","BLUE 1","Lowest 25% (Less than 1.52% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $305,459.07 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"179,091",163,296.56,26.99%,"48,340",163,"19,452",40.24%,41.82%,"$21,592,149.89",No,"BLUE 5","Extreme Values (More than 22,904 Beneficiaries)","BLUE 5","Extreme Values (More than 55 Providers)","BLUE 5","Extreme Values (More than 291.87 Users)","BLUE 2","Second Lowest 25% (20.50% - 34.54% of Users)","BLUE 5","Extreme Values (More than 8,444 Users)","BLUE 5","Extreme Values (More than 55.49 Providers)","BLUE 5","Extreme Values (More than 1,394 Dual Eligible Users)","BLUE 5","Extreme Values (More than 35.58% of Total Users)","BLUE 3","Third Lowest 25% (40.00% - 53.18% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,347,451.86 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30",Dialysis,COUNTY,MI,WAYNE,26,163,"179,662",67,44.15,1.65%,"2,958",67,"1,618",54.70%,3.48%,"$69,210,852.69",No,"BLUE 5","Extreme Values (More than 30,385 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (35.00 - 45.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.14% - 1.97% of Users)","BLUE 5","Extreme Values (More than 238 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 137 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.37% - 71.65% of Total Users)","BLUE 3","Third Lowest 25% (2.41% - 3.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,489,230.21 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"179,662",34,85.53,1.62%,"2,908",34,"1,925",66.20%,4.14%,"$1,183,103.90",No,"BLUE 5","Extreme Values (More than 27,274 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (80.60 - 139.49 Users)","BLUE 2","Second Lowest 25% (1.44% - 3.45% of Users)","BLUE 5","Extreme Values (More than 1,368 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 566 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.21% - 77.47% of Total Users)","BLUE 1","Lowest 25% (Less than 5.93% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $616,960.37 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Home Health",COUNTY,MI,WAYNE,26,163,"179,662",211,87.04,10.22%,"18,366",211,"7,316",39.83%,15.74%,"$89,729,555.31",No,"BLUE 5","Extreme Values (More than 23,455 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (71.00 - 130.56 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.58% - 13.79% of Users)","BLUE 5","Extreme Values (More than 1,763 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 364 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (24.10% - 40.44% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (12.01% - 19.02% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $9,277,715.51 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30",Hospice,COUNTY,MI,WAYNE,26,163,"179,662",35,107.46,2.09%,"3,761",35,"1,045",27.79%,2.25%,"$39,479,675.63",No,"BLUE 5","Extreme Values (More than 24,414 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (73.00 - 132.50 Users)","BLUE 2","Second Lowest 25% (2.00% - 2.47% of Users)","BLUE 5","Extreme Values (More than 616 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 136 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.58% - 43.54% of Total Users)","BLUE 1","Lowest 25% (Less than 2.57% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,661,727.54 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"179,662",80,"1,055.15",46.98%,"84,412",80,"23,481",27.82%,50.50%,"$211,139,704.94",No,"BLUE 5","Extreme Values (More than 22,968 Beneficiaries)","BLUE 5","Extreme Values (More than 34 Providers)","BLUE 5","Extreme Values (More than 650.49 Users)","BLUE 3","Third Lowest 25% (43.88% - 52.48% of Users)","BLUE 5","Extreme Values (More than 11,451 Users)","BLUE 5","Extreme Values (More than 34.49 Providers)","BLUE 5","Extreme Values (More than 1,744 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (18.64% - 31.67% of Total Users)","BLUE 3","Third Lowest 25% (46.95% - 55.14% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $28,786,222.00 )"," "," "," "," "," "," "," "," "," "," "
"2020-07-01 to 2021-06-30","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"179,091",45,160.02,4.02%,"7,201",45,"2,612",36.27%,5.62%,"$2,613,969.70",No,"BLUE 5","Extreme Values (More than 23,561 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 122.87 Users)","BLUE 2","Second Lowest 25% (3.38% - 4.53% of Users)","BLUE 5","Extreme Values (More than 1,277 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 213 Dual Eligible Users)","BLUE 5","Extreme Values (More than 34.53% of Total Users)","BLUE 3","Third Lowest 25% (5.02% - 6.93% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $393,839.36 )"," "," "," "," "," "," "," "," "," "," "
